txid,ordertxid,pair,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers
TOSQ23-XC6QM-XJYS34,O2N4H2-NT9NN-ONJ3HN,XMLNXXBT,57:26.3,buy,limit,0.000802,0.00401,0.00001043,5,0,,"LNK6PE-ZCLB8-JTPY8S,LRSC4V-7RT4H-LUASVA"
TB4NUO-WTU12-EP151T,ONHNNP-SVR9H-3425FN,XMLNXXBT,58:15.0,sell,limit,0.00079032,0.0039516,0.00001028,4.99999994,0,,"LDGTOL-2UZ6N-LGL2YL,LAULNN-ZDZ2Y-EFFF6S"
T6BD1W-1JGYH-QHNPG4,O9XTN3-LCNRN-7XJFWE,XMLNXXBT,31:07.5,buy,limit,0.000845,0.00252843,0.00000405,2.99222023,0,,"L7TL4H-FVLT8-GBUAOP,L6GEG2-LLRN7-RVPFJG"
TA4Q45-UGWED-OPX4WI,ONSK4H-AAX3J-ZTIBNI,XMLNXXBT,45:19.2,buy,limit,0.0009,0.0018,0.00000288,2,0,,"LJO6NF-GXUPV-TSNF8F,LXKNVU-IZF5V-ECKTZD"
T3XRJA-X14Y4-VQIKOA,OAOPSY-LJKX7-4FTN3O,XMLNXXBT,32:08.9,sell,limit,0.000611,0.00310516,0.00000807,4.9922202,0,,"LK82VU-AJXH2-5FNTAK,LNV2EL-BNLBH-ZRUGJH"
TMSTUR-ADY1D-TGI2WM,OEWJFV-CLC46-5BTXAY,XXBTZUSD,36:42.5,sell,limit,10374,207.48,0.5602,0.02,103.74,,LOVL8R-28L7P-T4RVGY
T2154W-H123X-1KM116,OJNTP7-Y2OL2-EGWNVN,XXBTZUSD,37:50.5,buy,market,10381.6,207.652,0.5399,0.02,41.5304,closing,LCUBG7-4CUNX-ZLNGXL
TV1DJR-MJ1YW-1EUDGP,OYWRY4-XLX3T-I9ZJ5K,XETHXXBT,42:29.8,buy,limit,0.01131,0.001215,0.000002,0.05701,0,,"LXI5RB-BP5CN-TOTRZP,LOFLCN-7X2OU-LI5TA8"
TCMHW2-NX11X-ARVO11,OYWRY4-XLX3T-I9ZJ5K,XETHXXBT,42:32.3,buy,limit,0.01131,0.001982,0.000003,0.09299,0,,"LS72DG-4VL5P-XVRVN5,LTSFTZ-JC5NL-NGOZDR"
T3J6UN-PJEM1-AGMDKI,OPJ4FG-4KCXN-TYYIAN,XETHXXBT,01:58.2,buy,limit,0.01117,0.001082,0.000002,0.05085534,0,,"LORKHK-R7CTL-NN87GJ,LYRLL8-HPUJV-HCKERH"
TJJGPI-HEH1K-QQ2E43,OPJ4FG-4KCXN-TYYIAN,XETHXXBT,04:02.9,buy,limit,0.01117,0.002109,0.000003,0.09914466,0,,"L72LX6-JAUNV-RT4TLL,LI6N8G-NGXCO-VZ66TD"
T1USRD-GB1AY-WVNAA1,O7HEVX-4R3XW-NPPVJX,XETHXXBT,08:24.8,sell,stop market,0.011107,0.006362,0.000016,0.29999999,0,,"LNVKVI-UV5HA-JIGY2L,LZGT7F-RZOFF-7NNKDP"
TX1VPX-WG1IP-J23JDK,OLVEGB-SHNC2-STT7OB,XETHXXBT,26:55.2,buy,limit,0.011344,0.001921,0.000005,0.09,0,,"LK5NDG-KS27F-8TR6JY,L4UKFS-PH8HE-UEEBZS"
